02289,070106673,7,Day,T-365JP,123000-7180F101,2019-12-13 13:19:43,2,BRC00131,BRC00132,FA-6,20191213070106673,-,-,279-190607163543.jpg,Printed,,2,
02289,070106674,7,Day,T-365JP,123000-7180F101,2019-12-13 13:23:24,2,BRC00133,BRC00134,FA-6,20191213070106674,-,-,279-190607163543.jpg,Printed,,2,
02288,070106675,7,Day,T-364JP,123000-7170F101,2019-12-13 13:28:25,2,BRC00075,BRC00076,FA-6,20191213070106675,-,-,277-190607163338.jpg,Printed,,2,
02288,070106676,7,Day,T-364JP,123000-7170F101,2019-12-13 13:32:08,2,BRC00077,BRC00078,FA-6,20191213070106676,-,-,277-190607163338.jpg,Printed,,2,
02288,070106677,7,Day,T-364JP,123000-7170F101,2019-12-13 13:37:17,2,BRC00079,BRC00080,FA-6,20191213070106677,-,-,277-190607163338.jpg,Printed,,2,
K74,070106652,7,Day,T-203TH,123000-5440C101,2019-12-13 13:39:45,4,BRC00773,BRC00776,FA-6,20191213070106652,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106678,7,Day,T-203TH,123000-5440C101,2019-12-13 13:46:41,4,BRC00777,BRC00780,FA-6,20191213070106678,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106679,7,Day,T-203TH,123000-5440C101,2019-12-13 13:52:29,4,BRC00781,BRC00784,FA-6,20191213070106679,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106680,7,Day,T-203TH,123000-5440C101,2019-12-13 13:58:23,4,BRC00785,BRC00788,FA-6,20191213070106680,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106681,7,Day,T-203TH,123000-5440C101,2019-12-13 14:03:57,4,BRC00789,BRC00792,FA-6,20191213070106681,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
